,,,,,
,Self Rated Poverty,,,,
Year,Month,Poor,Borderline,Not Poor,Total
1985,1985-July,74,13,13,100
1986,1986-May,66,16,18,100
,1986-October,67,13,20,100
1987,1987-March,43,40,17,100
,1987-October,50,41,9,100
1988,1988-September,66,22,12,100
1989,1989-February,63,14,23,100
,1989-September,60,27,13,100
1990,1990-April,66,20,14,100
,1990-November,70,14,16,100
1991,1991-July,71,21,8,100
,1991-November,62,26,12,100
1992,1992-February,72,12,16,100
,1992-April,68,22,11,101
,1992-September,65,16,19,100
,1992-December,58,26,16,100
1993,1993-April,65,23,12,100
,1993-July,59,19,22,100
,1993-September,68,19,14,101
,1993-December,68,15,17,100
1994,1994-April,70,18,13,101
,1994-August,67,24,9,100
,1994-November,68,17,15,100
,1994-December,68,18,15,101
1995,1995-March,63,23,14,100
,1995-June,65,21,14,100
,1995-October,62,25,13,100
,1995-December,61,26,12,99
1996,1996-April,59,28,13,100
,1996-June,57,31,12,100
,1996-September,58,28,15,101
,1996-December,61,25,13,99
1997,1997-April,58,26,16,100
,1997-June,58,24,17,99
,1997-September,58,28,13,99
,1997-December,63,24,13,100
1998,1998-February,57,27,16,100
,1998-March,59,23,18,100
,1998-July,61,23,15,99
,1998-September,65,20,15,100
,1998-November,59,27,14,100
1999,1999-March,62,24,14,100
,1999-June,60,27,14,101
,1999-October,63,22,15,100
,1999-December,59,29,12,100
2000,2000-March,59,32,10,101
,2000-July,54,34,12,100
,2000-September,57,29,14,100
,2000-December,56,30,14,100
2001,2001-March,59,26,15,100
,2001-July,66,25,9,100
,2001-September,63,28,9,100
,2001-November,60,26,14,100
2002,2002-March,58,25,17,100
,2002-May,66,24,10,100
,2002-September,66,17,17,100
,2002-November,61,24,15,100
2003,2003-March,59,22,19,100
,2003-June,53,30,17,100
,2003-September,62,21,17,100
,2003-November,64,15,22,101
2004,2004-March,58,15,28,101
,2004-June,46,31,23,100
,2004-August,53,28,18,99
,2004-December,48,35,17,100
2005,2005-March,48,34,18,100
,2005-May,57,26,17,100
,2005-August,49,25,26,100
,2005-December,57,22,21,100
2006,2006-March,55,28,16,99
,2006-June,59,23,18,100
,2006-September,51,27,22,100
,2006-November,52,21,27,100
2007,2007-February,53,20,27,100
,2007-June,47,28,25,100
,2007-September,52,22,26,100
,2007-December,46,27,28,101
2008,2008-March,50,24,26,100
,2008-June,59,24,17,100
,2008-September,52,29,19,100
,2008-December,52,24,24,100
2009,2009-February,47,27,26,100
,2009-June,50,27,22,99
,2009-September (A),53,28,20,101
,2009-September (B),54,25,22,101
,2009-December,46,34,20,100
2010,2010-March,43,35,22,100
,2010-June,50,32,19,101
,2010-September,48,32,20,100
,2010-November,49,33,18,100
2011,2011-March,51,28,21,100
,2011-June,49,27,25,101
,2011-September,52,27,21,100
,2011-December,45,40,15,100
2012,2012-March,55,23,23,101
,2012-May,51,24,25,100
,2012-August,47,34,19,100
,2012-December,54,20,26,100
2013,2013-March,52,23,25,100
,2013-June,49,33,18,100
,2013-September,50,23,26,99
,2013-December,55,22,24,101
2014,2014-March,53,21,26,100
,2014-June,55,23,21,99
,2014-September,55,21,24,100
,2014-December,52,18,30,100
2015,2015-March,51,23,26,100
,2015-June,51,24,26,101
,2015-September,50,31,19,100
,2015-December,50,28,22,100
2016,2016-March,46,29,25,100
,2016-June,45,32,23,100
,2016-September,42,36,22,100
,2016-December,44,31,25,100
2017,2017-March,50,23,26,99
,2017-June,44,28,28,100
,2017-September,47,29,24,100
,2017-December,44,35,21,100
2018,2018-March,42,29,29,100
,2018-June,48,28,24,100
,2018-September,52,28,19,99
,2018-December,50,27,23,100
2019,2019-March,38,40,22,100
,2019-June,45,30,24,99
,2019-September,42,30,28,100
,2019-December,54,23,23,100
2020,2020-November,48,36,16,100
2021,2021-May,49,33,17,99
,2021-June,48,29,23,100
,2021-September,45,34,21,100
,2021-December,43,39,19,101
2022,2022-April,43,34,23,100
,2022-June,48,31,21,100
,2022-October,49,29,21,99
,2022-December,51,31,19,101
2023,2023-March,51,30,19,100
,2023-June,45,33,22,100
,2023-September,48,27,25,100
,2023-December,47,33,20,100
2024,2024-March,46,30,23,99
,2024-June,58,12,30,100
,2024-September,59,13,28,100
,2024-December,63,11,26,100
,,,,Overall Total,14303